first_name,last_name,email,phone,organization,category,rsvp_status,party_size,dietary_restrictions,accessibility_needs,notes,table_preference,seating_preference,relationship_tags
Yasmin,Lopez,yasmin.lopez@student.greenfield.edu,(555) 451-4741,Philosophy,scholarship_recipient,confirmed,2,,,"Recipient of Patel Science Discovery Grant — $1,875 award",,,patel-science-discovery-grant
Alejandro,Matthews,alejandro.matthews@student.greenfield.edu,(555) 506-5218,Journalism,scholarship_recipient,confirmed,3,,,"Recipient of Patel Science Discovery Grant — $1,875 award",,,patel-science-discovery-grant
Andrew,Mills,andrew.mills@student.greenfield.edu,(555) 653-6140,Marine Biology,scholarship_recipient,confirmed,2,,,"Recipient of Patel Science Discovery Grant — $1,875 award",,Near other Patel Science Discovery Grant recipients,patel-science-discovery-grant
Ashton,Murray,ashton.murray@student.greenfield.edu,(555) 820-9124,Architecture,scholarship_recipient,confirmed,4,,,"Recipient of Patel Science Discovery Grant — $1,875 award",,,patel-science-discovery-grant
Brandon,Ortiz,brandon.ortiz@student.greenfield.edu,(555) 857-6259,Nursing,scholarship_recipient,invited,3,Shellfish allergy,,"Recipient of Patel Science Discovery Grant — $1,875 award",,,patel-science-discovery-grant
Daniel,Phillips,daniel.phillips@student.greenfield.edu,(555) 519-3584,English Literature,scholarship_recipient,invited,2,,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Eduardo,Aguilar,eduardo.aguilar@student.greenfield.edu,(555) 498-2526,Political Science,scholarship_recipient,confirmed,2,,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Emma,Bautista,emma.bautista@student.greenfield.edu,(555) 590-7238,Economics,scholarship_recipient,invited,2,,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Fatima,Burke,fatima.burke@student.greenfield.edu,(555) 999-3498,Pre-Med,scholarship_recipient,checked_in,2,,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,,morrison-trades-&-engineering-scholarship
Hassan,Castro,hassan.castro@student.greenfield.edu,(555) 303-9950,Music Performance,scholarship_recipient,declined,2,Kosher,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Isabella,Cooper,isabella.cooper@student.greenfield.edu,(555) 405-8911,Public Health,scholarship_recipient,confirmed,3,Vegan,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Javier,Dominguez,javier.dominguez@student.greenfield.edu,(555) 823-6282,Mechanical Engineering,scholarship_recipient,confirmed,3,,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Joshua,Ford,joshua.ford@student.greenfield.edu,(555) 428-1605,Data Science,scholarship_recipient,confirmed,2,,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,,morrison-trades-&-engineering-scholarship
Kenji,Graham,kenji.graham@student.greenfield.edu,(555) 856-4762,Philosophy,scholarship_recipient,confirmed,2,,,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Lauren,Harris,lauren.harris@student.greenfield.edu,(555) 999-6389,Journalism,scholarship_recipient,confirmed,2,,Hearing assistance needed,"Recipient of Morrison Trades & Engineering Scholarship — $1,250 award",,Near other Morrison Trades & Engineering Scholarship recipients,morrison-trades-&-engineering-scholarship
Maya,Hudson,maya.hudson@student.greenfield.edu,(555) 383-1895,Anthropology,scholarship_recipient,confirmed,4,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
Morgan,Jordan,morgan.jordan@student.greenfield.edu,(555) 874-5044,Biology,scholarship_recipient,declined,4,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,Near other Chen Arts & Humanities Scholarship recipients,chen-arts-&-humanities-scholarship
Noah,Larson,noah.larson@student.greenfield.edu,(555) 469-7136,Business Administration,scholarship_recipient,confirmed,2,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,Near other Chen Arts & Humanities Scholarship recipients,chen-arts-&-humanities-scholarship
Paige,Mann,paige.mann@student.greenfield.edu,(555) 974-1840,English Literature,scholarship_recipient,confirmed,1,,,"Recipient of Chen Arts & Humanities Scholarship — $2,500 award",,,chen-arts-&-humanities-scholarship
